Word,Definition
가로(街路),"가로(街路) 도시내의 도로. 가로의 폭, 포장, 배치, 계통 등의 상태 등 가로조건(街路條件)은 부동산의 효용과 가격에 큰 영향을 미친다."
가로구역별 최고높이 제한 지역,"정의 도시의 위생적이고 쾌적한 환경 확보 및 도시미관과 토지이용의 효율을 높이기 위해 「건축법」에 의해 가로구역(도로로 둘러싸인 일단의 지역)을 단위로 하여 건축물의 최고 높이를 제한하는 지역. 
 
 
 

 용어설명 「건축법」에 의해 지정되는 가로구역별 최고높이 제한지역은 도..."
가로장방형토지(가로長方形土地),"가로장방형토지(가로長方形土地) 가로장방형토지란 표준지공시지가 산정을 위한 조사시 토지의 형상을 표현하는 용어로서, 장방형의 토지로 넓은 면이 도로에 접하거나 도로를 향하고 있는 토지나 이와 비슷한 형상의 토지를 의미한다."
가사소송규칙(家事訴訟規則),가사소송규칙(家事訴訟規則) 가사소송법에서 위임한 가사사건의 재판과 조정의 절차를 규정한 대법원 규칙. 1990.12.31에 대법원규칙제1139호로 공표되었다. 가사소송법에서는 한정치산과 금치산 선고에 관한 재판절차를 규정하고 있다(동법 제2장 라류 가사비송사건 중 제2절 제2절 한정치산 및...
가사소송법(家事訴訟法),가사소송법(家事訴訟法) 인격의 존엄과 남녀의 평등을 기본으로 하고 가정평화와 친족상조의 미풍양속을 유지ㆍ향상하기 위하여 가사에 관한 소송과 비송 및 조정에 대한 절차의 특례를 규정함을 목적으로 1990.12.31에 법률제4300호로 제정된 법률을 의미한다. 법률 시행 이전에는 가사심판...
가사심판규칙(家事審判規則),"가사심판규칙(家事審判規則) 가사심판법에서 위임한 가사사건의 재판과 조정의 절차를 규정한 대법원 규칙. 1990.12.31 가사소송법 부칙 제2조에 의해 가사심판법이 폐지됨에 따라, 동 규칙의 내용은 신설된 가사소송규칙에서 정하고 있다."
가산금(加算金),가산금(加算金) 가산금이란 조세를 납부기한까지 납부하지 아니한 때에 가산하여 징수하는 금액을 의미한다. 통상 납부기한 경과한 날로부터 체납된 세액의 5%를 징수하고 있다.
가산세(加算稅),"가산세(加算稅) 가산세란 세법이 규정하는 의무를 성실한 이행을 확보하기 위하여 그 세법에 의하여 산출한 세액에 가산하여 징수하는 금액을 의미한다. 예를 들어 신고불성실가산세, 납부불성실가산세 등이 가산세의 범위에 포함된다."
가상(家相),가상(家相) 풍수지리설에 의거 주택의 방위ㆍ환경ㆍ형태ㆍ구조 등에 관하여 주택에 미치는 영향이 좋고 나쁨을 지적하는 것을 의미한다.
가석방(假釋放),"가석방(假釋放) 징역 또는 금고의 집행 중에 있는 자가 그 행장(行狀)이 양호하여 개전(改悛)의 정이 현저한 때에는 무기에 있어서는 10년, 유기에 있어서는 형기의 3분의 1을 경과한 후 행정처분으로 가석방을 할 수 있다(형법 제72조제1항). 가석방은 이미 죄를 뉘우치고 있는 자를 더..."
가설건축물(假設建築物),"가설건축물(假設建築物) 건축법에서 가설건축물이란 일시적 용도로 사용되는 건축물로서, 다음과 같은 조건을 만족한 것을 말한다. 
1. 철근콘크리트조 또는 철골철근콘크리트조가 아닐 것 
2. 존치기간은 3년이내일 것. 다만, 도시계획사업이 시행될 때까지 그 기간을 연장할 수 있다. 3. 3..."
가압류(假押留),"가압류(假押留) 금전채권 또는 금전으로 환산할 수 있는 채권을 위하여 채무자의 재산을 확보하여 장래의 강제집행의 불능 또는 곤란을 초래하지 않도록 보전할 것을 목적으로 한 명령을 의미한다. 그 집행으로서의 처분, 가처분과 더불어 보전소송의 일종이다. 가압류 제도는 채무명의를..."
